"Service","Src","Pkg","Docker","Prisma","HasTS","EmptySrc"
"admin-service","True","True","True","False","True","False"
"ad-service","True","True","False","False","True","False"
"ai-agent-service","True","True","False","True","True","False"
"ai-assistant-service","True","True","True","True","True","False"
"ai-business-service","True","True","False","True","True","False"
"ai-buyer-service","True","True","False","False","True","False"
"ai-chatbot-service","True","True","False","True","True","False"
"ai-core","True","True","False","False","True","False"
"ai-pricing-service","True","True","False","True","True","False"
"ai-recommendations","True","True","False","True","True","False"
"analytics-service","True","True","False","True","True","False"
"api-gateway","True","True","True","False","True","False"
"ar-preview-service","True","True","False","True","True","False"
"auction","True","False","False","False","True","False"
"auction-service","True","True","True","True","True","False"
"auth-service","True","True","True","True","True","False"
"auth-service-java","True","False","True","False","False","False"
"blockchain-service","True","True","False","False","True","False"
"bnpl-service","True","True","True","True","True","False"
"card-service","True","True","True","True","True","False"
"cart-service","True","True","True","True","True","False"
"category-service","True","True","False","False","True","False"
"chat-service","True","True","False","True","True","False"
"compliance-service","True","True","True","True","True","False"
"country-layer-service","True","True","False","True","True","False"
"craftercms","False","False","False","False","False","True"
"crowdship-service","True","True","True","True","True","False"
"crypto-service","True","True","True","True","True","False"
"customer-id-service","True","True","False","True","True","False"
"decision-authority-service","True","True","True","True","True","False"
"demand-forecasting-service","True","True","False","True","True","False"
"ebay-live-service","True","True","True","True","True","False"
"escrow-service","True","True","True","True","True","False"
"event-bus","True","False","True","True","True","False"
"feature-management-service","True","True","True","True","True","False"
"file-storage-service","True","True","False","False","True","False"
"fraud-detection-service","True","True","False","True","True","False"
"geolock-service","True","True","False","True","True","False"
"i18n-service","True","True","False","True","True","False"
"image-processing-service","True","True","False","False","True","False"
"image-recognition-service","True","True","False","False","True","False"
"integration-testing","False","False","False","False","False","True"
"internal-ledger-service","True","True","False","True","True","False"
"job-queue-service","True","True","False","False","True","False"
"kyc-service","True","True","False","True","True","False"
"listing-service","True","True","True","True","True","False"
"location-service","True","True","False","True","True","False"
"matching-service","True","True","True","True","True","False"
"medusa-adapter","True","True","False","True","True","False"
"mnbara-backend","True","True","True","False","True","False"
"mnbarh-ai-engine","True","True","True","True","True","False"
"monitoring","False","False","False","False","False","True"
"notification-service","True","True","True","True","True","False"
"novu-service","True","True","False","True","True","False"
"orders-service","True","True","True","True","True","False"
"p2p-exchange-service","True","True","True","True","True","False"
"payment-service","True","True","True","True","True","False"
"paypal-service","True","True","True","True","True","False"
"performance-testing","False","False","False","False","False","True"
"plugin-system","True","True","True","True","True","False"
"product-service","True","True","False","True","True","False"
"push-notification-service","True","True","False","True","True","False"
"recommendation-engine-service","True","True","False","False","True","False"
"recommendation-service","True","True","True","False","True","False"
"request-engine","True","True","False","False","True","False"
"review-service","True","True","False","True","True","False"
"rewards-service","True","True","True","True","True","False"
"rules-engine","True","True","False","False","True","False"
"search-service","True","True","False","False","True","False"
"security-audit","False","False","False","False","False","True"
"security-service","True","True","False","True","True","False"
"seller-service","True","True","False","True","True","False"
"seo-service","True","True","False","False","True","False"
"settlement-service","True","True","True","True","True","False"
"shared","True","True","False","False","True","False"
"signal-aggregation-service","True","True","False","True","True","False"
"smart-delivery-service","True","True","True","True","True","False"
"social-commerce-service","True","True","True","True","True","False"
"stripe-connect-service","True","True","False","True","True","False"
"sustainability-service","True","True","True","True","True","False"
"task-scheduler","True","True","False","True","True","False"
"trips-service","True","True","True","True","True","False"
"ui-config-service","True","True","True","True","True","False"
"unified-wallet-service","True","True","True","True","True","False"
"user-service","True","True","False","True","True","False"
"voice-commerce-service","True","True","False","True","True","False"
"vr-showroom-service","True","True","False","True","True","False"
"wallet-service","True","True","True","True","True","False"
"wholesale-service","True","True","True","True","True","False"
